station,date,obs,pred
왜관,2020-10-26,46.49999999999999,36.56422805786133
왜관,2021-01-04,37.900000000000006,27.12224578857422
왜관,2021-02-08,43.49999999999999,39.89028549194336
왜관,2021-03-15,32.70000000000001,29.76132583618164
왜관,2021-11-15,14.899999999999997,22.904178619384766
왜관,2021-12-20,16.199999999999996,9.979732513427734
왜관,2022-04-04,19.900000000000002,14.797712326049805
왜관,2022-05-09,2.8,8.384743690490723
왜관,2022-08-22,23.299999999999997,21.293926239013672
왜관,2022-10-11,18.9,11.028926849365234
왜관,2023-10-16,10.4,16.484384536743164
왜관,2023-11-20,6.1,8.408388137817383
왜관,2024-01-29,32.1,38.52146530151367
왜관,2024-03-04,8.2,8.29227066040039
왜관,2024-05-13,20.200000000000003,17.517623901367188
왜관,2025-01-13,9.1,8.248517990112305
왜관,2025-03-24,5.1,14.851616859436035
왜관,2025-04-28,3.8999999999999995,11.522618293762207
용산,2016-11-11,29.500000000000004,27.147502899169922
용산,2017-08-28,47.79999999999999,26.379690170288086
용산,2017-11-21,6.700000000000001,7.542486190795898
용산,2018-05-15,21.099999999999998,14.934601783752441
용산,2018-11-06,40.60000000000001,39.13429260253906
용산,2018-11-26,26.5,33.440284729003906
용산,2019-01-15,11.9,12.459567070007324
용산,2019-04-15,18.1,14.555549621582031
용산,2020-06-08,3.2,8.635247230529785
용산,2020-10-06,18.800000000000004,30.429698944091797
용산,2020-10-26,53.00000000000001,44.27592468261719
용산,2021-06-08,3.8999999999999995,7.10939884185791
용산,2022-04-19,14.399999999999999,8.120859146118164
용산,2022-05-09,25.100000000000005,14.10039234161377
용산,2023-01-19,11.9,18.66499900817871
용산,2023-02-08,14.299999999999999,17.872976303100586
용산,2023-05-24,18.9,17.24281883239746
용산,2023-11-15,25.899999999999995,32.620243072509766
용산,2025-01-13,6.700000000000001,6.87840461730957
용산,2025-08-18,20.4,41.29542922973633
임해진,2017-04-10,23.099999999999998,14.779757499694824
임해진,2018-08-13,64.4,40.083595275878906
임해진,2020-06-08,13.999999999999996,18.1109561920166
임해진,2022-05-09,7.999999999999998,11.990342140197754
임해진,2022-08-22,34.4,27.668792724609375
임해진,2022-10-11,29.599999999999998,52.13779067993164
임해진,2023-09-11,24.500000000000004,21.608882904052734
임해진,2024-05-13,25.299999999999997,22.710092544555664
임해진,2024-10-10,19.200000000000003,35.36860275268555
임해진,2024-12-04,41.4,35.93839645385742
창녕,2017-03-21,31.599999999999998,31.555328369140625
창녕,2017-09-12,49.99999999999999,40.74749755859375
창녕,2017-11-21,5.4,7.344256401062012
창녕,2018-03-06,40.0,38.636051177978516
창녕,2018-05-15,20.3,12.623970031738281
창녕,2018-07-24,30.000000000000004,28.588830947875977
창녕,2018-11-06,66.80000000000003,42.31639099121094
창녕,2019-01-15,11.1,18.569793701171875
창녕,2019-06-04,8.5,16.48421859741211
창녕,2019-10-22,12.799999999999999,11.79975414276123
창녕,2020-02-04,35.199999999999996,25.605022430419922
